X,utla,date,cases,caserate,deaths,deathrate,income,vacci,pop,,
1,York,12-11-2021,26844,12721.6,419,198.6,31160,81,776 ,,
2,Worcestershire,12-11-2021,75536,12630,1444,241.4,28435,85,344 ,,
3,Wolverhampton,12-11-2021,43626,16499.6,901,340.8,24788,71.2,3808 ,,
4,Wokingham,12-11-2021,20739,11922.7,329,189.1,39564,85.6,972 ,,
5,Wirral,12-11-2021,48637,14995.9,1052,324.4,28965,81.9,2015 ,,
6,Windsor and Maidenhead,12-11-2021,19380,12811.3,361,238.6,44020,82.9,770 ,,
7,Wiltshire,12-11-2021,56247,11158.6,900,178.5,29632,87,155 ,,
8,Wigan,12-11-2021,58183,17593.3,1095,331.1,26028,81.5,1758 ,,
9,Westminster,12-11-2021,26493,9817.7,418,154.9,68934,58.8,12561 ,,
10,West Sussex,12-11-2021,100066,11533.2,1916,220.8,31194,83.9,436 ,,
11,West Berkshire,12-11-2021,17293,10912.8,264,166.6,38350,86.8,225 ,,
12,Warwickshire,12-11-2021,81822,14015.8,1307,223.9,33515,83,296 ,,
13,Warrington,12-11-2021,36135,17256.7,604,288.4,30672,81.8,1159 ,,
14,Wandsworth,12-11-2021,43846,13297.3,529,160.4,55523,67.2,9624 ,,
15,Waltham Forest,12-11-2021,39643,14314.7,630,227.5,34831,63.3,7136 ,,
16,Walsall,12-11-2021,46196,16112.1,1013,353.3,23952,77.7,2758 ,,
17,Wakefield,12-11-2021,58256,16569.2,982,279.3,25556,81.6,1038 ,,
18,Trafford,12-11-2021,40013,16842,604,254.2,35967,80.7,2240 ,,
19,Tower Hamlets,12-11-2021,46322,13953.7,552,166.3,50651,64,16791 ,,
20,Torbay,12-11-2021,16119,11833.2,201,147.6,23282,84,2166 ,,
21,Thurrock,12-11-2021,27754,15811.5,508,289.4,30713,73.4,1071 ,,
22,Telford and Wrekin,12-11-2021,26652,14698.7,303,167.1,25821,80.1,625 ,,
23,Tameside,12-11-2021,39744,17499.4,810,356.6,24510,79.2,2202 ,,
24,Swindon,12-11-2021,30324,13605.5,380,170.5,30469,82.4,969 ,,
25,Sutton,12-11-2021,29296,14104.5,524,252.3,36002,78.8,4737 ,,
26,Surrey,12-11-2021,151710,12643.9,3039,253.3,43311,82.1,722 ,,
